Date (GMT+1),Nuclear,Non-Renewable,Renewable,Day Ahead Auction (CH)
,Power (MW),Power (MW),Power (MW),"Price (EUR/MWh, EUR/tCO2)"
2025-01-11T23:00+01:00,2972.497384,462.5,2333.964148,113.3
2025-01-12T00:00+01:00,2973.61856,462.5,2189.524794,103.08
2025-01-12T01:00+01:00,2973.698644,462.5,1792.353363,97.77
2025-01-12T02:00+01:00,2974.699694,462.5,1747.345595,94.34
2025-01-12T03:00+01:00,2974.61961,462.5,1576.97504,91.41
2025-01-12T04:00+01:00,2975.150167,462.5,1535.003154,90.96
2025-01-12T05:00+01:00,2973.568508,462.5,1789.085871,93.3
2025-01-12T06:00+01:00,2973.548487,462.5,1945.698663,99.43
2025-01-12T07:00+01:00,2973.118035,462.5,2305.041012,103.31
2025-01-12T08:00+01:00,2974.569558,462.5,2417.044163,114.14
2025-01-12T09:00+01:00,2975.800849,462.5,2883.959971,119.01
2025-01-12T10:00+01:00,2974.069033,462.5,2998.909395,116.61
2025-01-12T11:00+01:00,2972.897804,462.5,3358.025848,110
2025-01-12T12:00+01:00,2971.846702,462.5,3485.123279,107.24
2025-01-12T13:00+01:00,2972.016881,462.5,3423.296482,106.35
2025-01-12T14:00+01:00,2971.045862,462.5,3120.115102,109.59
2025-01-12T15:00+01:00,2971.246072,462.5,3456.884143,120.94
2025-01-12T16:00+01:00,2969.494235,462.5,3913.872501,130.55
2025-01-12T17:00+01:00,2969.143868,462.5,4943.802955,137.2
2025-01-12T18:00+01:00,2968.963679,462.5,5650.721149,143.64
2025-01-12T19:00+01:00,2969.243972,462.5,5806.352549,140.9
2025-01-12T20:00+01:00,2970.014781,462.5,4887.602344,133.37
2025-01-12T21:00+01:00,2969.314046,462.5,4443.264049,126.23
2025-01-12T22:00+01:00,2970.965778,462.5,3064.181169,122.4
2025-01-12T23:00+01:00,2971.566408,462.5,2543.107409,117.28
2025-01-13T00:00+01:00,2972.61751,462.5,2312.120105,114.31
2025-01-13T01:00+01:00,2972.747647,462.5,1932.86143,110.64
2025-01-13T02:00+01:00,2971.646492,462.5,1656.230897,107.01
2025-01-13T03:00+01:00,2972.217091,462.5,1616.228534,105.52
2025-01-13T04:00+01:00,2970.915726,462.5,1920.645954,105.07
2025-01-13T05:00+01:00,2969.113836,462.5,2577.894629,115.85
2025-01-13T06:00+01:00,2969.714466,462.5,4712.921857,140.29
2025-01-13T07:00+01:00,2968.19287,462.5,5747.152699,165.47
2025-01-13T08:00+01:00,2968.413101,462.5,6714.3747,185.05
2025-01-13T09:00+01:00,2968.262944,462.5,6454.222525,157.3
2025-01-13T10:00+01:00,2973.468403,462.5,5870.024275,140.67
2025-01-13T11:00+01:00,2967.99266,462.5,5437.257145,130.1
2025-01-13T12:00+01:00,2967.842503,462.5,5136.590215,122.99
2025-01-13T13:00+01:00,2967.091715,462.5,5217.298851,121.1
2025-01-13T14:00+01:00,2966.7914,462.5,5149.236429,124.4
2025-01-13T15:00+01:00,2965.960529,462.5,5248.937704,132.45
2025-01-13T16:00+01:00,2967.241873,462.5,5612.316446,150.12
2025-01-13T17:00+01:00,2968.813521,462.5,6222.917899,166.87
2025-01-13T18:00+01:00,2968.963679,462.5,6454.233152,167.71
2025-01-13T19:00+01:00,2966.691295,462.5,6321.569301,159.33
2025-01-13T20:00+01:00,2968.062734,462.5,5897.877171,143.1
2025-01-13T21:00+01:00,2969.644392,462.5,4906.76153,129.59
2025-01-13T22:00+01:00,2969.894655,462.5,4095.803373,125.11
2025-01-13T23:00+01:00,2971.966828,462.5,3299.483178,118.35
2025-01-14T00:00+01:00,2972.517405,462.5,2923.578201,124.97
2025-01-14T01:00+01:00,2973.698644,462.5,2361.345803,121.69
2025-01-14T02:00+01:00,2971.746597,462.5,2215.858541,118.92
2025-01-14T03:00+01:00,2972.116986,462.5,2167.601844,117.3
2025-01-14T04:00+01:00,2973.098014,462.5,2267.497866,117.79
2025-01-14T05:00+01:00,2969.364098,462.5,3208.961593,123.81
2025-01-14T06:00+01:00,2968.563259,462.5,4320.798224,137.96
2025-01-14T07:00+01:00,2968.943658,462.5,6223.998317,166.57
2025-01-14T08:00+01:00,2972.066933,462.5,6351.270044,184.22
2025-01-14T09:00+01:00,2971.99686,462.5,5835.454329,167.96
2025-01-14T10:00+01:00,2974.949957,462.5,5634.16232,143.47
2025-01-14T11:00+01:00,2970.715516,462.5,5072.569475,133.8
2025-01-14T12:00+01:00,2968.743448,462.5,4602.440606,128.33
2025-01-14T13:00+01:00,2968.743448,462.5,4787.798899,129.21
2025-01-14T14:00+01:00,2967.842503,462.5,4638.585521,131.94
2025-01-14T15:00+01:00,2967.712366,462.5,4498.344262,156.01
2025-01-14T16:00+01:00,2967.79245,462.5,5203.826195,164.35
2025-01-14T17:00+01:00,2967.39203,462.5,5490.059981,170.34
2025-01-14T18:00+01:00,2968.39308,462.5,6015.666504,190.2
2025-01-14T19:00+01:00,2968.863574,462.5,6226.444612,184.75
2025-01-14T20:00+01:00,2969.814571,462.5,5400.743366,172.18
2025-01-14T21:00+01:00,2971.19602,462.5,4697.760384,150.23
2025-01-14T22:00+01:00,2971.546387,462.5,4435.733817,137.94
2025-01-14T23:00+01:00,2971.99686,462.5,4264.349298,131.61
2025-01-15T00:00+01:00,2971.115936,462.5,2986.281643,123.19
2025-01-15T01:00+01:00,2971.646492,462.5,2513.110171,118.11
2025-01-15T02:00+01:00,2972.597489,462.5,2398.54871,115.07
2025-01-15T03:00+01:00,2972.297175,462.5,2277.599667,112.96
2025-01-15T04:00+01:00,2971.716566,462.5,2467.201682,115.79
2025-01-15T05:00+01:00,2971.165988,462.5,3234.694729,123.43
2025-01-15T06:00+01:00,2970.415201,462.5,4351.922502,151.61
2025-01-15T07:00+01:00,2970.465253,462.5,6077.148825,191.22
2025-01-15T08:00+01:00,2969.213941,462.5,6005.50221,222.62
2025-01-15T09:00+01:00,2969.614361,462.5,6002.15461,210.3
2025-01-15T10:00+01:00,2968.012681,462.5,6572.129877,178.09
2025-01-15T11:00+01:00,2967.842503,462.5,6692.039722,168.43
2025-01-15T12:00+01:00,2967.762419,462.5,6279.688533,162.5
2025-01-15T13:00+01:00,2967.642293,462.5,5737.50427,159.91
2025-01-15T14:00+01:00,2966.411001,462.5,5179.659717,169.38
2025-01-15T15:00+01:00,2963.107537,462.5,5268.876471,174.91
2025-01-15T16:00+01:00,2962.386781,462.5,5288.80221,175.1
2025-01-15T17:00+01:00,2964.208692,462.5,5915.910419,209.63
2025-01-15T18:00+01:00,2964.088566,462.5,6409.356115,213.2
2025-01-15T19:00+01:00,2965.189721,462.5,6478.513668,201.85
2025-01-15T20:00+01:00,2966.260844,462.5,5759.791789,176.2
2025-01-15T21:00+01:00,2966.240823,462.5,4633.000533,159.97
2025-01-15T22:00+01:00,2966.290875,462.5,3768.866222,141.54
2025-01-15T23:00+01:00,2965.910477,462.5,2491.535704,134.8
2025-01-16T00:00+01:00,2965.610162,462.5,2267.000946,128.81
2025-01-16T01:00+01:00,2966.19077,462.5,2189.69147,123.35
2025-01-16T02:00+01:00,2966.561159,462.5,1960.774846,120.01
2025-01-16T03:00+01:00,2965.309847,462.5,1862.319103,118.63
2025-01-16T04:00+01:00,2964.058534,462.5,1836.667351,119.93
2025-01-16T05:00+01:00,2964.008482,462.5,2320.867757,129.56
2025-01-16T06:00+01:00,2962.887306,462.5,4085.461731,145.59
2025-01-16T07:00+01:00,2961.686046,462.5,6311.709131,192.73
2025-01-16T08:00+01:00,2960.985311,462.5,6556.606547,216.34
2025-01-16T09:00+01:00,2963.457904,462.5,6064.708715,187.2
2025-01-16T10:00+01:00,2963.307747,462.5,5581.198408,162.26
2025-01-16T11:00+01:00,2963.558009,462.5,5463.912555,142.64
2025-01-16T12:00+01:00,2965.339878,462.5,4766.131929,138.22
2025-01-16T13:00+01:00,2962.737149,462.5,4991.791753,137.39
2025-01-16T14:00+01:00,2963.588041,462.5,5077.374293,144.29
2025-01-16T15:00+01:00,2962.056435,462.5,5648.284992,163.19
2025-01-16T16:00+01:00,2962.506907,462.5,5391.645294,188.97
2025-01-16T17:00+01:00,2964.709217,462.5,6473.525581,207.02
2025-01-16T18:00+01:00,2964.989511,462.5,6595.786012,208.71
2025-01-16T19:00+01:00,2966.19077,462.5,6305.786764,192.51
2025-01-16T20:00+01:00,2964.989511,462.5,5793.719972,153.04
2025-01-16T21:00+01:00,2965.039563,462.5,4335.860587,139.9
2025-01-16T22:00+01:00,2965.990561,462.5,2804.869788,134.01
2025-01-16T23:00+01:00,2965.610162,462.5,2381.194474,127.5
2025-01-17T00:00+01:00,2966.290875,462.5,1941.478783,123.94
2025-01-17T01:00+01:00,2966.99161,462.5,1742.807575,120.09
2025-01-17T02:00+01:00,2968.563259,462.5,1612.544443,117.7
2025-01-17T03:00+01:00,2967.261894,462.5,1409.314116,116.14
